date,rep,source,meetings,showed,amount
2026-07-25,Avery,inbound,2,2,7897
2026-07-25,Jordan,outbound,3,3,7323
2026-07-25,Sam,inbound,4,2,7942
2026-07-26,Jordan,inbound,2,1,5389
2026-07-26,Priya,referral,4,3,510
2026-07-26,Sam,outbound,2,1,7139
2026-07-27,Jordan,inbound,3,2,5732
2026-07-27,Priya,referral,3,3,6687
2026-07-27,Sam,inbound,3,2,1202
2026-07-28,Avery,outbound,3,2,6321
2026-07-28,Jordan,referral,1,1,1605
2026-07-28,Priya,outbound,2,1,2387
2026-07-28,Sam,outbound,3,2,5740
2026-07-29,Avery,outbound,2,2,1899
2026-07-29,Priya,outbound,2,1,2360
2026-07-29,Sam,inbound,2,2,1619
2026-07-30,Jordan,outbound,3,2,7458
2026-07-30,Priya,outbound,1,1,5053
2026-07-30,Sam,inbound,3,2,4939
2026-07-31,Jordan,referral,1,1,3457
2026-07-31,Priya,outbound,1,1,2339
2026-07-31,Sam,inbound,3,2,471
2026-08-01,Avery,referral,4,3,1393
2026-08-01,Jordan,inbound,3,2,3641
2026-08-01,Priya,outbound,3,2,3369
2026-08-02,Avery,inbound,4,3,4743
2026-08-02,Jordan,referral,4,4,2054
2026-08-02,Priya,outbound,1,1,6290
2026-08-02,Sam,referral,2,2,4032
2026-08-03,Avery,outbound,4,3,7109
2026-08-03,Jordan,outbound,2,2,7189
2026-08-03,Priya,inbound,3,2,2725
2026-08-04,Avery,outbound,1,1,1884
2026-08-04,Jordan,inbound,2,1,4810
2026-08-04,Priya,referral,3,3,1961
2026-08-04,Sam,inbound,3,3,2676
2026-08-05,Avery,referral,1,1,6758
2026-08-05,Jordan,inbound,1,1,3785
2026-08-05,Priya,referral,2,1,7861
2026-08-06,Avery,outbound,2,1,4863
2026-08-06,Jordan,outbound,3,2,7164
2026-08-06,Priya,outbound,2,2,6047
2026-08-06,Sam,referral,1,1,778
2026-08-07,Avery,inbound,1,1,6128
2026-08-07,Jordan,inbound,2,1,6520
2026-08-07,Priya,inbound,2,1,1282
2026-08-07,Sam,outbound,2,1,5264
2026-08-08,Jordan,inbound,3,3,1119
2026-08-08,Priya,inbound,1,1,3499
2026-08-08,Sam,inbound,3,2,4
2026-08-09,Jordan,inbound,2,2,2507
2026-08-09,Priya,inbound,1,1,3737
2026-08-09,Sam,referral,2,2,4776
2026-08-10,Avery,inbound,1,1,6007
2026-08-10,Jordan,inbound,2,2,5950
2026-08-11,Avery,inbound,1,1,5098
2026-08-11,Jordan,referral,2,2,6882
2026-08-11,Priya,inbound,2,2,4102
2026-08-11,Sam,referral,2,2,4962
2026-08-12,Avery,referral,3,2,7338
2026-08-12,Jordan,referral,2,2,7480
2026-08-12,Priya,outbound,3,2,5637
2026-08-13,Avery,inbound,2,2,97
2026-08-13,Jordan,referral,3,2,3507
2026-08-13,Sam,inbound,2,1,1685
2026-08-14,Avery,referral,2,2,7403
2026-08-14,Jordan,referral,1,1,4095
2026-08-14,Priya,outbound,1,1,758
2026-08-14,Sam,inbound,1,1,2535
2026-08-15,Avery,outbound,1,1,4245
2026-08-15,Jordan,referral,2,2,7459
2026-08-15,Priya,referral,2,1,1214
2026-08-15,Sam,referral,2,2,162
2026-08-16,Avery,referral,1,1,5802
2026-08-16,Jordan,outbound,3,2,1743
2026-08-16,Priya,referral,3,2,4938
2026-08-16,Sam,inbound,1,1,7026
2026-08-17,Avery,inbound,4,3,2667
2026-08-17,Jordan,referral,3,2,1660
2026-08-17,Sam,inbound,3,2,7853
2026-08-18,Avery,referral,1,1,7720
2026-08-18,Jordan,referral,3,2,6684
2026-08-18,Priya,outbound,3,3,4101
2026-08-19,Avery,referral,1,1,7980
2026-08-19,Jordan,inbound,3,2,2166
2026-08-19,Priya,outbound,4,2,7599
2026-08-19,Sam,inbound,2,2,325
2026-08-20,Jordan,referral,1,1,1007
2026-08-20,Priya,outbound,2,2,1261
2026-08-20,Sam,outbound,2,1,5314
2026-08-21,Avery,inbound,1,1,6747
2026-08-21,Jordan,referral,2,2,7545
2026-08-21,Priya,referral,1,1,3668
2026-08-21,Sam,outbound,1,1,694
2026-08-22,Avery,inbound,2,2,5262
2026-08-22,Jordan,inbound,3,2,3673
2026-08-22,Priya,inbound,1,1,521
2026-08-22,Sam,referral,2,2,4503
2026-08-23,Avery,inbound,1,1,853
2026-08-23,Sam,inbound,2,1,294
2026-08-24,Avery,inbound,4,3,886
2026-08-24,Jordan,referral,4,2,3536
2026-08-24,Priya,inbound,3,2,7404
2026-08-24,Sam,outbound,4,4,4862
2026-08-25,Avery,referral,3,3,2871
2026-08-25,Jordan,inbound,3,2,7854
2026-08-25,Priya,inbound,4,2,2559
2026-08-25,Sam,referral,2,1,5376
2026-08-26,Avery,outbound,4,4,5413
2026-08-26,Jordan,inbound,2,2,3219
2026-08-26,Priya,inbound,1,1,6058
2026-08-26,Sam,outbound,4,3,6265
2026-08-27,Avery,referral,1,1,3281
2026-08-27,Priya,outbound,1,1,5420
2026-08-27,Sam,inbound,4,2,3164
2026-08-28,Jordan,inbound,1,1,5902
2026-08-28,Priya,inbound,1,1,1322
2026-08-28,Sam,referral,3,3,5866
2026-08-29,Avery,outbound,1,1,5284
2026-08-29,Jordan,referral,3,2,390
2026-08-29,Sam,inbound,2,2,2297
2026-08-30,Avery,referral,4,3,5291
2026-08-30,Jordan,inbound,1,1,5790
2026-08-30,Priya,outbound,2,2,3099
2026-08-30,Sam,outbound,1,1,330
2026-08-31,Avery,referral,2,1,7424
2026-08-31,Jordan,referral,3,2,581
2026-08-31,Priya,outbound,2,1,3878
2026-08-31,Sam,inbound,1,1,7385
2026-09-01,Avery,inbound,1,1,550
2026-09-01,Jordan,outbound,3,3,2679
2026-09-01,Priya,inbound,2,1,4464
2026-09-01,Sam,inbound,1,1,3230
2026-09-02,Avery,outbound,1,1,2609
2026-09-02,Jordan,outbound,1,1,5855
2026-09-02,Priya,outbound,4,3,2498
2026-09-02,Sam,inbound,4,2,6122
2026-09-03,Avery,referral,2,1,1875
2026-09-03,Jordan,inbound,3,3,4896
2026-09-03,Priya,inbound,3,2,2671
2026-09-03,Sam,referral,4,3,7491
2026-09-04,Avery,outbound,1,1,458
2026-09-04,Jordan,inbound,1,1,5903
2026-09-04,Priya,inbound,3,3,6263
2026-09-04,Sam,inbound,3,2,4825
2026-09-05,Avery,inbound,3,3,3337
2026-09-05,Jordan,outbound,1,1,1019
2026-09-05,Sam,outbound,1,1,1344
2026-09-06,Jordan,inbound,2,1,3156
2026-09-06,Priya,outbound,2,2,3292
2026-09-06,Sam,referral,1,1,6164
2026-09-07,Avery,outbound,1,1,6787
2026-09-07,Jordan,referral,3,2,1520
2026-09-08,Avery,outbound,2,2,6280
2026-09-08,Jordan,outbound,2,1,4890
2026-09-08,Sam,inbound,1,1,6036
2026-09-09,Avery,referral,2,2,4133
2026-09-09,Jordan,inbound,1,1,2183
2026-09-09,Priya,inbound,1,1,3097
2026-09-09,Sam,outbound,3,2,164
2026-09-10,Jordan,inbound,2,2,4176
2026-09-10,Priya,referral,2,2,3166
2026-09-10,Sam,outbound,3,2,4733
2026-09-11,Avery,outbound,1,1,4265
2026-09-11,Jordan,outbound,1,1,3236
2026-09-11,Priya,outbound,2,1,6829
2026-09-12,Avery,referral,3,2,5726
2026-09-12,Jordan,outbound,4,3,22
2026-09-12,Sam,referral,2,2,7223
2026-09-13,Avery,referral,4,3,7652
2026-09-13,Jordan,referral,1,1,6501
2026-09-13,Priya,outbound,3,3,5894
2026-09-13,Sam,outbound,1,1,5230
2026-09-14,Avery,referral,2,2,1114
2026-09-14,Jordan,outbound,1,1,1489
2026-09-14,Priya,inbound,3,2,6437
2026-09-14,Sam,inbound,3,2,2442
2026-09-15,Avery,inbound,4,3,735
2026-09-15,Priya,referral,1,1,3075
2026-09-15,Sam,referral,2,1,6383
2026-09-16,Avery,inbound,1,1,2582
2026-09-16,Priya,referral,4,2,2024
2026-09-16,Sam,referral,1,1,5034
2026-09-17,Jordan,referral,2,2,1636
2026-09-17,Priya,referral,1,1,6892
2026-09-17,Sam,referral,3,2,2322
2026-09-18,Avery,outbound,3,2,6690
2026-09-18,Jordan,outbound,3,2,6115
2026-09-18,Priya,referral,3,3,1964
2026-09-19,Avery,referral,1,1,3042
2026-09-19,Jordan,referral,1,1,1430
2026-09-19,Priya,outbound,2,2,2317
2026-09-19,Sam,outbound,2,1,11
2026-09-20,Avery,referral,3,2,2429
2026-09-20,Priya,inbound,1,1,6300
2026-09-20,Sam,referral,1,1,5815
2026-09-21,Avery,outbound,1,1,4619
2026-09-21,Jordan,outbound,1,1,7120
2026-09-21,Sam,inbound,4,4,4724
2026-09-22,Avery,referral,3,2,4977
2026-09-22,Jordan,inbound,3,2,1494
2026-09-22,Priya,outbound,3,3,3212
2026-09-22,Sam,inbound,1,1,5470
