engagement_date,sales_rep,region,source,activity_type,meetings_booked,meetings_held,pipeline_amount,closed_amount
2026-05-25,Avery Chen,West,partner,follow-up,1,1,24000,0
2026-05-25,Avery Chen,West,outbound,demo,1,1,5600,0
2026-05-25,Avery Chen,West,outbound,demo,1,1,19000,0
2026-05-25,Jordan Blake,East,outbound,closing,1,1,22400,13800
2026-05-25,Priya Nair,Central,outbound,follow-up,1,1,25100,9600
2026-05-25,Sam Okafor,East,referral,closing,1,0,0,0
2026-05-25,Taylor Reed,West,referral,follow-up,1,1,2100,0
2026-05-25,Taylor Reed,West,event,demo,1,1,22500,10400
2026-05-26,Avery Chen,West,event,demo,1,0,0,0
2026-05-26,Avery Chen,West,referral,discovery,1,0,0,0
2026-05-26,Avery Chen,West,event,discovery,1,0,0,0
2026-05-26,Avery Chen,West,event,follow-up,1,1,16700,11800
2026-05-26,Jordan Blake,East,outbound,discovery,1,0,0,0
2026-05-26,Jordan Blake,East,event,discovery,1,1,25400,0
2026-05-26,Jordan Blake,East,inbound,demo,1,1,3700,0
2026-05-26,Priya Nair,Central,outbound,follow-up,1,1,12200,0
2026-05-26,Priya Nair,Central,event,discovery,1,1,2500,1500
2026-05-26,Priya Nair,Central,referral,demo,1,1,14700,10900
2026-05-26,Sam Okafor,East,outbound,follow-up,1,0,0,0
2026-05-26,Taylor Reed,West,inbound,closing,1,1,21800,0
2026-05-26,Taylor Reed,West,inbound,closing,1,1,16300,0
2026-05-27,Avery Chen,West,event,demo,1,1,20700,0
2026-05-27,Avery Chen,West,referral,discovery,1,0,0,0
2026-05-27,Avery Chen,West,referral,discovery,1,1,10200,0
2026-05-27,Jordan Blake,East,event,closing,1,1,12800,4100
2026-05-27,Priya Nair,Central,referral,discovery,1,1,14600,0
2026-05-27,Priya Nair,Central,inbound,demo,1,0,0,0
2026-05-27,Priya Nair,Central,partner,demo,1,1,17200,0
2026-05-27,Sam Okafor,East,referral,closing,1,1,8200,0
2026-05-27,Sam Okafor,East,inbound,discovery,1,1,7800,7500
2026-05-27,Sam Okafor,East,inbound,demo,1,0,0,0
2026-05-27,Taylor Reed,West,inbound,demo,1,1,8300,0
2026-05-28,Avery Chen,West,partner,discovery,1,1,2200,800
2026-05-28,Jordan Blake,East,referral,follow-up,1,1,11100,0
2026-05-28,Jordan Blake,East,outbound,follow-up,1,1,18100,0
2026-05-28,Jordan Blake,East,inbound,discovery,1,1,24000,0
2026-05-28,Jordan Blake,East,event,closing,1,1,15400,0
2026-05-28,Priya Nair,Central,referral,discovery,1,1,3200,0
2026-05-28,Priya Nair,Central,event,follow-up,1,1,18300,0
2026-05-28,Priya Nair,Central,outbound,discovery,1,1,2600,1800
2026-05-28,Priya Nair,Central,inbound,discovery,1,0,0,0
2026-05-28,Sam Okafor,East,inbound,follow-up,1,0,0,0
2026-05-28,Sam Okafor,East,inbound,discovery,1,0,0,0
2026-05-28,Sam Okafor,East,event,follow-up,1,0,0,0
2026-05-28,Taylor Reed,West,partner,closing,1,1,18500,0
2026-05-28,Taylor Reed,West,inbound,discovery,1,1,11800,0
2026-05-29,Avery Chen,West,outbound,discovery,1,1,6300,4900
2026-05-29,Avery Chen,West,referral,follow-up,1,0,0,0
2026-05-29,Jordan Blake,East,event,discovery,1,1,22500,0
2026-05-29,Priya Nair,Central,event,follow-up,1,0,0,0
2026-05-29,Priya Nair,Central,partner,closing,1,1,9300,0
2026-05-29,Priya Nair,Central,inbound,follow-up,1,0,0,0
